Epoch Time,Processing Source,Latitude (deg),Longitude (deg),Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Wind Speed (m/s),Wind Direction (deg),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg)
1790380800,hdr,43.4375467,-70.3492933,1.82,11.378,6.911,146.985,26.694,140.076,31.335,7.63,111,0.029296875,0.126953125,1.285,10.618,148.012,29.717,0.126953125,0.80078125,1.289,5.133,131.893,33.714
1790381700,hdr,43.4375678,-70.349319,2.087,11.378,7.61,148.72,20.213,143.622,29.484,7.47,115,0.029296875,0.126953125,1.658,10.709,148.88,23.961,0.126953125,0.80078125,1.267,5.088,132.805,37.654
1790382000,embedded,43.4375667,-70.3493333,1.94,10.24,7.28,153.435,21.926,144.673,32.904,6.8,114,,,,,,,,,,,,
1790382600,hdr,43.4375702,-70.3493415,1.953,9.309,7.323,158.89,22.316,145.222,29.066,6.75,122,0.029296875,0.126953125,1.496,10.268,151.614,25.997,0.126953125,0.80078125,1.256,5.206,134.887,32.666
1790383500,hdr,43.4375857,-70.3493358,1.778,11.378,6.998,149.082,25.89,140.7,30.98,6.39,129,0.029296875,0.126953125,1.286,10.71,147.512,30.11,0.126953125,0.80078125,1.227,5.069,133.228,32.459
1790383800,embedded,43.4376,-70.34935,1.8,11.38,7.12,148.706,25.44,143.358,32.718,5.6,125,,,,,,,,,,,,
1790384400,hdr,43.4375965,-70.3493593,1.818,12.799,7.338,144.361,20.062,143.28,29.67,5.59,134,0.029296875,0.126953125,1.414,10.661,147.468,27.078,0.126953125,0.80078125,1.142,4.965,136.67,34.103
1790385300,hdr,43.4376378,-70.3494487,1.811,11.378,6.956,147.429,23.063,145.418,29.836,7.07,121,0.029296875,0.126953125,1.301,10.599,149.463,29.669,0.126953125,0.80078125,1.259,5.089,141.481,32.93
1790385600,embedded,43.43765,-70.3494333,1.8,11.38,7.12,148.047,25.207,146.31,33.234,5.6,142,,,,,,,,,,,,
1790386200,hdr,43.4376555,-70.3494425,2.002,11.378,7.519,153.411,22.414,146.969,28.567,5.71,110,0.029296875,0.126953125,1.558,10.36,151.738,27.068,0.126953125,0.80078125,1.256,5.286,140.228,34.165
1790387100,hdr,43.437641,-70.3494465,1.826,9.309,6.946,158.419,22.184,150.765,33.319,6.0,110,0.029296875,0.126953125,1.272,9.99,159.064,33.673,0.126953125,0.80078125,1.31,5.396,144.076,34.681
1790387400,embedded,43.4376167,-70.3494333,1.9,9.3,7.26,152.809,22.942,149.978,33.759,5.6,120,,,,,,,,,,,,
1790388000,hdr,43.4376442,-70.349439,1.702,11.378,7.197,153.776,25.166,148.631,35.003,7.16,89,0.029296875,0.126953125,1.292,10.462,154.047,32.902,0.126953125,0.80078125,1.109,5.055,141.372,38.802
1790388900,hdr,43.437625,-70.3494372,1.919,11.378,7.552,154.448,22.861,149.022,29.289,5.64,134,0.029296875,0.126953125,1.506,10.362,154.052,27.532,0.126953125,0.80078125,1.189,5.263,141.027,33.79
1790389200,embedded,43.4376167,-70.3494333,1.85,11.38,7.36,155.379,26.965,151.018,34.464,5.2,97,,,,,,,,,,,,
1790389800,hdr,43.4376425,-70.3494283,2.009,10.24,7.684,158.555,25.733,151.878,31.4,6.17,119,0.029296875,0.126953125,1.616,10.364,158.032,28.083,0.126953125,0.80078125,1.193,5.212,140.388,36.58
1790390700,hdr,43.4376485,-70.3494412,1.683,10.24,6.995,158.585,24.447,148.774,35.482,6.68,95,0.029296875,0.126953125,1.224,10.592,156.075,32.73,0.126953125,0.80078125,1.155,5.065,141.521,38.673
1790391000,embedded,43.4376167,-70.3494167,1.85,11.38,7.48,158.175,25.719,152.521,34.189,7.2,102,,,,,,,,,,,,
1790391600,hdr,43.4376253,-70.3494485,1.9,11.378,7.664,151.415,24.936,147.983,31.465,5.93,105,0.029296875,0.126953125,1.531,10.504,151.922,28.243,0.126953125,0.80078125,1.125,5.105,140.343,38.171
1790392500,hdr,43.4376132,-70.3494305,1.861,11.378,7.476,150.668,24.076,146.203,32.143,7.72,90,0.029296875,0.126953125,1.486,10.616,151.817,27.19,0.126953125,0.80078125,1.12,4.918,135.774,39.57
1790392800,embedded,43.4376167,-70.3494167,1.96,11.38,7.48,151.03,26.12,147.802,33.125,6.4,97,,,,,,,,,,,,
1790393400,hdr,43.4375973,-70.3494158,2.012,9.309,7.294,152.876,20.491,144.677,33.142,8.02,96,0.029296875,0.126953125,1.573,10.108,150.219,30.718,0.126953125,0.80078125,1.255,5.075,135.44,39.012
1790394300,hdr,43.4375932,-70.3494015,1.909,11.378,7.396,157.585,23.683,147.997,32.455,7.56,93,0.029296875,0.126953125,1.476,10.635,156.173,27.672,0.126953125,0.80078125,1.209,5.086,135.166,37.519
1790394600,embedded,43.4376167,-70.3494333,1.98,11.38,7.54,156.94,25.505,150.463,32.935,6.8,102,,,,,,,,,,,,
1790395200,hdr,43.437594,-70.349422,1.888,11.378,7.536,156.192,25.737,150.481,32.741,6.21,115,0.029296875,0.126953125,1.501,10.583,156.329,27.404,0.126953125,0.80078125,1.145,5.043,139.79,40.193
1790396100,hdr,43.4375825,-70.3494095,1.901,11.378,7.316,154.549,28.722,147.147,35.401,6.83,97,0.029296875,0.126953125,1.468,10.724,155.232,28.458,0.126953125,0.80078125,1.207,4.976,133.018,42.077
1790396400,embedded,43.4375833,-70.3494333,1.9,11.38,7.46,154.509,27.378,149.95,34.389,6.8,108,,,,,,,,,,,,
1790397000,hdr,43.437578,-70.3494267,2.145,11.378,7.898,155.139,20.78,148.597,29.694,7.21,124,0.029296875,0.126953125,1.8,10.711,153.845,22.521,0.126953125,0.80078125,1.166,4.856,134.306,40.874
1790397900,hdr,43.4375795,-70.3494275,2.169,10.24,7.747,151.812,20.425,147.015,30.013,6.56,105,0.029296875,0.126953125,1.76,10.305,150.3,25.748,0.126953125,0.80078125,1.267,5.237,139.726,38.579
1790398200,embedded,43.4375833,-70.3494167,2.15,11.38,7.7,154.1,25.092,149.662,32.025,6.8,125,,,,,,,,,,,,
1790398800,hdr,43.4375782,-70.34941,1.957,10.24,7.255,150.039,20.938,144.036,33.324,7.64,119,0.029296875,0.126953125,1.536,10.123,150.985,28.943,0.126953125,0.80078125,1.212,4.986,131.878,39.766
1790399700,hdr,43.4375778,-70.3493727,2.313,11.378,7.883,148.704,18.9,147.106,26.534,6.79,131,0.029296875,0.126953125,1.896,10.512,151.199,22.923,0.126953125,0.80078125,1.323,5.208,137.743,33.467
1790400000,embedded,43.4375667,-70.3493333,2.08,11.38,7.58,147.488,20.398,144.885,30.145,6.0,131,,,,,,,,,,,,
1790400600,hdr,43.4375765,-70.349406,1.952,10.24,7.433,153.94,21.553,146.666,32.136,6.4,132,0.029296875,0.126953125,1.572,10.58,153.394,26.836,0.126953125,0.80078125,1.157,4.797,132.425,39.526
1790401500,hdr,43.437583,-70.3494098,2.035,10.24,7.168,149.925,22.255,143.73,29.035,8.33,131,0.029296875,0.126953125,1.561,10.456,149.372,25.194,0.126953125,0.80078125,1.306,4.945,135.55,34.641
1790401800,embedded,43.4375833,-70.3494,2.05,10.24,7.34,149.696,21.158,146.09,31.585,6.8,131,,,,,,,,,,,,
1790402400,hdr,43.4375858,-70.3494217,2.003,10.24,7.146,147.726,22.601,144.409,30.32,6.61,120,0.029296875,0.126953125,1.519,10.507,150.246,26.677,0.126953125,0.80078125,1.305,4.985,136.123,35.01
1790403300,hdr,43.4375743,-70.3494125,2.115,11.378,7.161,148.054,22.633,145.341,28.637,8.27,125,0.029296875,0.126953125,1.574,10.558,149.4,26.082,0.126953125,0.80078125,1.412,5.116,140.562,32.343
1790403600,embedded,43.4375667,-70.3493833,2.09,11.38,7.2,150.758,21.971,147.73,31.047,7.6,125,,,,,,,,,,,,
1790404200,hdr,43.4375733,-70.3494102,2.256,11.378,7.324,149.942,22.115,146.422,28.217,10.04,139,0.029296875,0.126953125,1.747,10.673,152.176,24.997,0.126953125,0.80078125,1.426,4.978,137.671,32.913
1790405100,hdr,43.4375545,-70.3493867,1.995,11.378,7.004,155.259,21.024,145.359,31.019,8.63,121,0.029296875,0.126953125,1.495,10.591,152.549,26.577,0.126953125,0.80078125,1.321,4.887,135.84,35.508
